,x_i,r_i,sd
NTIV,0.006318100600680453,0.02326833401543136,0.2435397248688349
SCR,0.12272639734898647,0.002286601576935255,0.01694202749682467
PRFN,0.004283550108328318,0.020834829927236415,0.2533485449193217
UI,0.05181370057605944,0.002656969347897099,0.02556183302360456
ARON,0.011536112378601375,0.002927362707523626,0.05575996534256586
BL,0.003650908671486351,0.01814766688248357,0.24200869280430282
NIBEB,0.07089228546095462,0.003216277721828668,0.02249283387482899
SHLTN,0.02887532341921689,0.0031370589128890273,0.03419577172658844
ALPN,0.3464166980953475,0.0008668342613646637,0.005118276864296562
TXGN,0.01736017326295803,0.0005614889324942007,0.01704316273319164
CADN,0.0013594436348557855,0.04100545727887981,0.49786657762395997
EDHN,0.014303825433782561,0.000551633970199192,0.015892698417562176
HREN,0.02518807099270831,0.0011828234629116118,0.01690335743787928
NREN,0.09083774536853365,0.0005989296223103123,0.005998926680065765
ZUGER,0.0403726584987627,0.0006273629140655933,0.009009401298986152
RAP,0.001590844954367709,0.010113104288192414,0.17332144669619326
MED,0.020745775381679935,0.002709844765397191,0.024720492768418922
ADVN,0.0043597835894757485,0.001449586643920633,0.03305540238720736
BBN,0.0206242738150114,0.003020395200601888,0.02155061450153343
ROSE,0.007693479682050451,0.0043667364577323715,0.03777433489032179
BLKB,0.045388106241294225,0.00043866987691948655,0.004754896069837078
PLAN,0.049258883930493644,0.0006312339674773801,0.005214918197696831
AAM,0.004844385830171512,0.004063165773467998,0.03982934563840464
CLXN,0.009126134650220646,0.0012196625312387683,0.013932144297928677
BPDG,0.0004333380739722872,0.004316101880958973,0.05739607311482451
